model,DeltaQAICc,weight,npar,QDeviance
S(AgeClass3 * NAO + Time + Juvenile:Nestling age)p(1)r(1)F(1),45.40400116382261,6.22989481152516e-11,22,5766.483511838623
S(AgeClass3 + NAO + Juvenile:Body condition)p(1)r(Ageclass2)F(1),45.41373404468777,6.199651048944819e-11,8,5794.7391587987395
S(AgeClass3 * NAO + Time + Sex)p(1)r(1)F(1),45.47610332932527,6.009300579910825e-11,22,1853.9322888591744
S(AgeClass3 * NAO + Time + Leucocytozoon)p(1)r(1)F(1),45.487934600240806,5.97385668825746e-11,22,1853.9441201300895
S(AgeClass3 * NAO + Time + Juvenile:Rank)p(1)r(1)F(1),45.67046196094907,5.452798973212893e-11,22,5766.749972635749
S(AgeClass3 * NAO + Time + Morph)p(1)r(1)F(1),46.28893401062851,4.002395372734573e-11,23,1852.7190691873177
S(AgeClass3 * NAO + Time + Juvenile:Leucocytozoon)p(1)r(1)F(1),47.03053178898699,2.7623841681663892e-11,23,1853.4605812318298
S(AgeClass3 + NAO + Body condition)p(1)r(Ageclass2)F(1),47.83957325147094,1.8433294213807534e-11,8,5797.164998005523
S(AgeClass3 * Body condition + NAO)p(1)r(Ageclass2)F(1),48.9647800374305,1.0501888568551902e-11,10,5794.268737179103
S(AgeClass3 + NAO + Juvenile:Hatch date)p(1)r(Ageclass2)F(1),49.08237110061509,9.902225927896946e-12,8,5798.407795854667
S(AgeClass3 * NAO + Juvenile:Body condition)p(1)r(Ageclass2)F(1),49.34749593137258,8.672847408478008e-12,10,5794.651453073045
S(AgeClass3 + NAO + Juvenile:Nestling age:Leucocytozoon)p(1)r(Ageclass2)F(1),50.718909597901984,4.3688085303961796e-12,9,5798.03416774853
S(AgeClass3 + NAO)p(1)r(Ageclass2)F(1),52.07522205713849,2.217397242557155e-12,7,1890.786440557441
S(AgeClass3 * NAO + Juvenile:Hatch date)p(1)r(Ageclass2)F(1),52.974895006792394,1.4141061282263522e-12,10,5798.2788521484645
S(AgeClass3 + NAO + Juvenile:Nestling age)p(1)r(Ageclass2)F(1),53.234289853261544,1.242095902539982e-12,8,5802.559714607313
S(AgeClass3 + NAO + Morph)p(1)r(Ageclass2)F(1),53.987598256598176,8.522682068468873e-13,9,1888.6795312622755
S(AgeClass3 + NAO + Sex)p(1)r(Ageclass2)F(1),54.010781307435536,8.424461545250973e-13,8,1890.7128809165351
S(AgeClass3 + NAO + Juvenile:Rank)p(1)r(Ageclass2)F(1),54.0338437123346,8.327875321536574e-13,8,5803.359268466386
S(AgeClass3 + NAO + Leucocytozoon)p(1)r(Ageclass2)F(1),54.08356934371568,8.123373670202632e-13,8,1890.785754686663
S(AgeClass3 + NAO + Juvenile:Leucocytozoon)p(1)r(Ageclass2)F(1),54.341507577877564,7.140454483179342e-13,9,1889.0334405835547
S(AgeClass3 * NAO + Juvenile:Nestling age:Leucocytozoon)p(1)r(Ageclass2)F(1),54.57880959987688,6.341563941077521e-13,11,5797.870330366513
S(AgeClass3 * NAO)p(1)r(Ageclass2)F(1),56.01074558304026,3.099241564208163e-13,9,1890.7026785887174
S(AgeClass3 * NAO + Juvenile:Nestling age)p(1)r(Ageclass2)F(1),57.155363130558726,1.748658025328037e-13,10,5802.459320272231
S(AgeClass3 * NAO + Morph)p(1)r(Ageclass2)F(1),57.93417517810121,1.1846443788608104e-13,11,1888.6023707997872
S(AgeClass3 * NAO + Sex)p(1)r(Ageclass2)F(1),57.943685855647345,1.179024366635296e-13,10,1890.6243178523684
S(AgeClass3 * NAO + Juvenile:Rank)p(1)r(Ageclass2)F(1),57.96700546208831,1.165357008720666e-13,10,5803.27096260376
S(AgeClass3 * NAO + Leucocytozoon)p(1)r(Ageclass2)F(1),58.02058911659424,1.1345495025323732e-13,10,1890.701306847162
